title,author,published_at,url,categories,comment_count
Market – what market? The catch 22 at the heart of innovation in government,Nicholas Gruen,2025-12-22 16:59:45,https://antosarho.github.io/clubtroppo/2025/12/22/market-what-market-the-catch-22-at-the-heart-of-innovation-in-government/index.html,Information; Cultural Critique; Social Policy,2
Some thoughts about Bondi,Chris Lloyd,2025-12-22 16:04:54,https://antosarho.github.io/clubtroppo/2025/12/22/some-thoughts-about-bondi/index.html,Politics - national; Religion; Law; Immigration and refugees; Ethics,76
Some musings on reality motivated by the age of AI,Chris Lloyd,2025-11-05 17:48:03,https://antosarho.github.io/clubtroppo/2025/11/05/some-musings-on-reality-motivated-by-the-age-of-ai/index.html,Uncategorized,22
Australian male violence against female partners: the 2024-25 drop,David Walker,2025-10-26 16:48:22,https://antosarho.github.io/clubtroppo/2025/10/26/australian-male-violence-against-women-the-2024-25-drop/index.html,Politics - national; Methodology; Criminal law,4
The Evaluator General redux,Nicholas Gruen,2025-10-23 16:42:47,https://antosarho.github.io/clubtroppo/2025/10/23/the-evaluator-general-redux/index.html,Economics and public policy; Health; Innovation,0
"Fixing the world, one video at a time",Nicholas Gruen,2025-10-14 22:26:25,https://antosarho.github.io/clubtroppo/2025/10/14/fixing-the-world-one-video-at-a-time/index.html,Democracy,10
Democracy as a three legged stool: our two centuries long Magna Carta moment.,Nicholas Gruen,2025-10-14 22:24:25,https://antosarho.github.io/clubtroppo/2025/10/14/democracy-as-a-three-legged-stool-our-two-centuries-long-magna-carta-moment/index.html,Democracy; Sortition and citizens’ juries,0
We have almost no affordable answers to mental ill-health (one might be below),David Walker,2025-10-12 17:26:39,https://antosarho.github.io/clubtroppo/2025/10/12/dogs-mental-health-economic-policy/index.html,Economics and public policy; Health; Medical; Social Policy,5
Seeing and not seeing: building and forgetting,Nicholas Gruen,2025-09-20 22:28:11,https://antosarho.github.io/clubtroppo/2025/09/20/seeing-and-not-seeing-building-and-forgetting/index.html,Cultural Critique; Democracy; Sortition and citizens’ juries,3
Ideology and misdirection,Nicholas Gruen,2025-09-05 17:01:53,https://antosarho.github.io/clubtroppo/2025/09/05/ideology-and-misdirection/index.html,Cultural Critique,2
Sortition? Hmmm...,Ken Parish,2025-08-08 16:38:04,https://antosarho.github.io/clubtroppo/2025/08/08/sortition-hmmm/index.html,Political theory; Democracy,4
Absent without leave,Ken Parish,2025-08-08 14:53:48,https://antosarho.github.io/clubtroppo/2025/08/08/absent-without-leave/index.html,Life; Health; Medical,11
Liz Allen stopped talking to me. Actually she didn't even start.,Chris Lloyd,2025-08-04 18:04:43,https://antosarho.github.io/clubtroppo/2025/08/04/liz-allen-stopped-talking-to-me-actually-she-didnt-even-start/index.html,Uncategorized,16
Some collected observations on the Middle East crisis.,Chris Lloyd,2025-07-01 19:02:42,https://antosarho.github.io/clubtroppo/2025/07/01/some-collected-observations-on-the-middle-east-crisis/index.html,Uncategorized,9
The Magical Mystery of The Beatles,Antonios Sarhanis,2025-06-08 14:50:22,https://antosarho.github.io/clubtroppo/2025/06/08/the-magical-mystery-of-the-beatles/index.html,Music; WOW! - Amazing,9
Collective governance or tyranny? A chat about our own Magna Carta moment,Nicholas Gruen,2025-05-30 14:45:22,https://antosarho.github.io/clubtroppo/2025/05/30/collective-governance-or-tyranny-a-chat-about-our-own-magna-carta-moment/index.html,Uncategorized,3
The marshmallow at the end of the universe,Nicholas Gruen,2025-05-24 00:44:58,https://antosarho.github.io/clubtroppo/2025/05/24/the-marshmallow-at-the-end-of-the-universe/index.html,Philosophy; History; Science,4
What ails millennials?,Nicholas Gruen,2025-05-17 18:16:51,https://antosarho.github.io/clubtroppo/2025/05/17/what-ails-millennials/index.html,Cultural Critique,4
Immigration cuts and housing prices: what research says (and media should report),David Walker,2025-04-21 17:38:16,https://antosarho.github.io/clubtroppo/2025/04/21/immigration-cuts-and-housing-prices-what-research-says-and-media-should-report/index.html,Politics - national; Economics and public policy; Journalism; Immigration and refugees,11
"How to raise first-home prices: Supercharge demand, and pretend you didn't",David Walker,2025-04-13 15:01:22,https://antosarho.github.io/clubtroppo/2025/04/13/the-first-home-guarantee-expansion-bad-for-buyers-good-for-sellers-yet-again/index.html,Politics - national; Economics and public policy; Social Policy,5
Trade rips nobody off: A Trump-era history of recent Australian trade policy,David Walker,2025-04-05 10:14:10,https://antosarho.github.io/clubtroppo/2025/04/05/changing-a-trade-balance-aint-easy-a-briefing-for-us-readers/index.html,Politics - national; Politics - international; History; Economics and public policy,2
Cheap gas? Cheap nuclear? Yeh nah,Ken Parish,2025-04-01 12:45:30,https://antosarho.github.io/clubtroppo/2025/04/01/cheap-gas-cheap-nuclear-yeh-nah/index.html,Politics - national; Climate Change; Democracy,10
The ABC (ombudsman) stopped talking to me,Chris Lloyd,2025-03-09 17:42:06,https://antosarho.github.io/clubtroppo/2025/03/09/the-abc-ombudsman-stopped-talking-to-me/index.html,Science; Gender; Media; Political theory; Social,6
"Is the cultural revolution on gender, race and sexual orientation at risk?",Nicholas Gruen,2025-01-28 13:49:11,https://antosarho.github.io/clubtroppo/2025/01/28/is-the-cultural-revolution-on-gender-race-and-sexual-orientation-at-risk/index.html,History; Gender; Space; Review; Bargains; Race and indigenous; Cultural Critique,12
"Elections and Sortition: two systems, two destinies, two ways to do politics",Nicholas Gruen,2025-01-26 15:31:24,https://antosarho.github.io/clubtroppo/2025/01/26/elections-and-sortition-two-systems-two-destinies-two-ways-to-do-politics/index.html,Democracy; Sortition and citizens’ juries,6
"12 lessons from the weird, unnoticed end of Australia's bitter broadband war",David Walker,2024-12-31 19:41:42,https://antosarho.github.io/clubtroppo/2024/12/31/strange-death-of-australian-broadband-crisis/index.html,Politics - national; IT and Internet; Economics and public policy; Media; Web and Government 2.0,29
"Mime, misdirection and pyramid of code",Nicholas Gruen,2024-12-12 01:09:29,https://antosarho.github.io/clubtroppo/2024/12/12/mime-misdirection-and-pyramid-of-code/index.html,Philosophy; Innovation; Best From Elsewhere; Ethics; Cultural Critique; Death and taxes; Bullshit; Employment; Sortition and citizens’ juries; Isegoria; Coronavirus crisis; Criminal law,3
Copilot stopped talking to me,Chris Lloyd,2024-11-14 19:34:32,https://antosarho.github.io/clubtroppo/2024/11/14/copilot-stopped-talking-to-me/index.html,Uncategorized,17
Some philosophy is likely fraud; let's start to uncover it,David Walker,2024-11-07 00:11:15,https://antosarho.github.io/clubtroppo/2024/11/07/some-philosophy-is-probably-fraud-lets-try-to-find-it/index.html,Philosophy; Society; Bullshit,16
Trump would be a disaster for the world economy (and climate change),Ken Parish,2024-11-06 15:29:23,https://antosarho.github.io/clubtroppo/2024/11/06/trump-would-be-a-disaster-for-the-world-economy-and-cliamte-change/index.html,Politics - international; Economics and public policy; Immigration and refugees,8
